Date,Tweet_Count,Avg_Sentiment_Score,Positive_Count,Negative_Count,Neutral_Count,Positive_Ratio,Negative_Ratio
2022-09-03,49,0.0,0,0,49,0.0,0.0
2022-09-04,42,0.0,0,0,42,0.0,0.0
2022-09-05,35,0.0,0,0,35,0.0,0.0
2022-09-06,82,0.0,0,0,82,0.0,0.0
2022-09-07,89,0.0,0,0,89,0.0,0.0
2022-09-08,91,0.0,0,0,91,0.0,0.0
2022-09-09,99,0.0,0,0,99,0.0,0.0
2022-09-10,37,0.0,0,0,37,0.0,0.0
2022-09-11,54,0.0,0,0,54,0.0,0.0
2022-09-12,70,0.0,0,0,70,0.0,0.0
2022-09-13,73,0.0,0,0,73,0.0,0.0
2022-09-14,108,0.0,0,0,108,0.0,0.0
2022-09-15,94,0.0,0,0,94,0.0,0.0
2022-09-16,99,0.0,0,0,99,0.0,0.0
2022-09-17,52,0.0,0,0,52,0.0,0.0
2022-09-18,53,0.0,0,0,53,0.0,0.0
2022-09-19,87,0.0,0,0,87,0.0,0.0
2022-09-20,81,0.0,0,0,81,0.0,0.0
2022-09-21,54,0.0,0,0,54,0.0,0.0
2022-09-22,83,0.0,0,0,83,0.0,0.0
2022-09-23,86,0.0,0,0,86,0.0,0.0
2022-09-24,41,0.0,0,0,41,0.0,0.0
2022-09-25,36,0.0,0,0,36,0.0,0.0
2022-09-26,72,0.0,0,0,72,0.0,0.0
2022-09-27,85,0.0,0,0,85,0.0,0.0
2022-09-28,75,0.0,0,0,75,0.0,0.0
2022-09-29,112,-0.017857142857142856,1,3,108,0.008928571428571428,0.026785714285714284
