Date,Tweet_Count,Avg_Sentiment_Score,Positive_Count,Negative_Count,Neutral_Count,Positive_Ratio,Negative_Ratio
2022-03-13,41,0.2682926829268293,17,6,18,0.4146341463414634,0.14634146341463414
2022-03-14,94,0.14893617021276595,38,24,32,0.40425531914893614,0.2553191489361702
2022-03-15,99,0.1717171717171717,36,19,44,0.36363636363636365,0.1919191919191919
2022-03-16,82,0.1951219512195122,25,9,48,0.3048780487804878,0.10975609756097561
2022-03-17,81,0.25925925925925924,31,10,40,0.38271604938271603,0.12345679012345678
2022-03-18,82,0.34146341463414637,35,7,40,0.4268292682926829,0.08536585365853659
2022-03-19,51,0.6078431372549019,35,4,12,0.6862745098039216,0.0784313725490196
2022-03-20,44,0.3409090909090909,21,6,17,0.4772727272727273,0.13636363636363635
2022-03-21,99,0.2727272727272727,38,11,50,0.3838383838383838,0.1111111111111111
2022-03-22,218,0.41284403669724773,119,29,70,0.5458715596330275,0.13302752293577982
2022-03-23,129,0.4263565891472868,67,12,50,0.5193798449612403,0.09302325581395349
2022-03-24,100,0.20202020202020202,31,11,57,0.31,0.11
2022-03-25,80,0.375,35,5,40,0.4375,0.0625
2022-03-26,89,0.056179775280898875,24,19,46,0.2696629213483146,0.21348314606741572
2022-03-27,98,0.030612244897959183,23,20,55,0.23469387755102042,0.20408163265306123
2022-03-28,196,0.28061224489795916,86,31,79,0.4387755102040816,0.15816326530612246
2022-03-29,103,0.33980582524271846,45,10,48,0.4368932038834951,0.0970873786407767
2022-03-30,98,0.3877551020408163,52,14,32,0.5306122448979592,0.14285714285714285
2022-03-31,92,0.2826086956521739,43,17,32,0.4673913043478261,0.18478260869565216
2022-04-01,113,0.3185840707964602,53,17,43,0.4690265486725664,0.1504424778761062
2022-04-02,121,0.5537190082644629,74,7,40,0.6115702479338843,0.05785123966942149
2022-04-03,74,0.43243243243243246,38,6,30,0.5135135135135135,0.08108108108108109
2022-04-04,154,0.37662337662337664,80,22,52,0.5194805194805194,0.14285714285714285
2022-04-05,112,0.17857142857142858,40,20,52,0.35714285714285715,0.17857142857142858
2022-04-06,96,0.2708333333333333,39,13,44,0.40625,0.13541666666666666
2022-04-07,144,0.3263888888888889,73,26,45,0.5069444444444444,0.18055555555555555
2022-04-08,241,0.5186721991701245,152,27,62,0.6307053941908713,0.11203319502074689
2022-04-09,75,0.5466666666666666,47,6,22,0.6266666666666667,0.08
2022-04-10,60,0.45,32,5,23,0.5333333333333333,0.08333333333333333
2022-04-11,117,0.10344827586206896,36,24,56,0.3076923076923077,0.20512820512820512
2022-04-12,94,0.11702127659574468,29,18,47,0.30851063829787234,0.19148936170212766
2022-04-13,89,0.1797752808988764,32,16,41,0.3595505617977528,0.1797752808988764
2022-04-14,179,-0.03910614525139665,33,40,106,0.18435754189944134,0.22346368715083798
2022-04-15,78,0.19230769230769232,32,17,29,0.41025641025641024,0.21794871794871795
2022-04-16,65,0.13846153846153847,20,11,34,0.3076923076923077,0.16923076923076924
2022-04-17,71,0.2112676056338028,22,7,42,0.30985915492957744,0.09859154929577464
2022-04-18,107,0.16822429906542055,38,20,49,0.35514018691588783,0.18691588785046728
2022-04-19,97,-0.020618556701030927,23,25,49,0.23711340206185566,0.25773195876288657
2022-04-20,350,0.29428571428571426,157,54,139,0.44857142857142857,0.15428571428571428
2022-04-21,206,0.1941747572815534,89,49,68,0.4320388349514563,0.23786407766990292
2022-04-22,114,0.05263157894736842,36,30,48,0.3157894736842105,0.2631578947368421
2022-04-23,102,-0.0392156862745098,37,41,24,0.3627450980392157,0.4019607843137255
2022-04-24,73,0.0684931506849315,27,22,24,0.3698630136986301,0.3013698630136986
2022-04-25,156,0.10897435897435898,54,37,65,0.34615384615384615,0.23717948717948717
2022-04-26,217,0.02304147465437788,59,54,104,0.271889400921659,0.2488479262672811
2022-04-27,123,0.06504065040650407,39,31,53,0.3170731707317073,0.25203252032520324
2022-04-28,138,0.09420289855072464,39,26,73,0.2826086956521739,0.18840579710144928
2022-04-29,218,0.07834101382488479,64,47,106,0.29357798165137616,0.21559633027522937
2022-04-30,62,0.25806451612903225,22,6,34,0.3548387096774194,0.0967741935483871
2022-05-01,66,0.18181818181818182,26,14,26,0.3939393939393939,0.21212121212121213
2022-05-02,103,0.23300970873786409,37,13,53,0.3592233009708738,0.1262135922330097
2022-05-03,71,0.2112676056338028,23,8,40,0.323943661971831,0.11267605633802817
2022-05-04,94,0.2553191489361702,39,15,40,0.4148936170212766,0.1595744680851064
2022-05-05,99,0.0707070707070707,29,22,48,0.29292929292929293,0.2222222222222222
2022-05-06,124,0.3387096774193548,66,24,34,0.532258064516129,0.1935483870967742
2022-05-07,48,0.125,19,13,16,0.3958333333333333,0.2708333333333333
2022-05-08,67,0.13636363636363635,22,13,31,0.3283582089552239,0.19402985074626866
2022-05-09,125,0.12,41,26,58,0.328,0.208
2022-05-10,146,0.13013698630136986,55,36,55,0.3767123287671233,0.2465753424657534
2022-05-11,137,0.10948905109489052,55,40,42,0.40145985401459855,0.291970802919708
2022-05-12,137,0.051094890510948905,44,37,56,0.32116788321167883,0.27007299270072993
2022-05-13,111,0.0990990990990991,42,31,38,0.3783783783783784,0.27927927927927926
2022-05-14,64,-0.015625,17,18,29,0.265625,0.28125
2022-05-15,56,0.35714285714285715,28,8,20,0.5,0.14285714285714285
2022-05-16,112,-0.14285714285714285,27,43,42,0.24107142857142858,0.38392857142857145
2022-05-17,85,-0.047058823529411764,18,22,45,0.21176470588235294,0.25882352941176473
2022-05-18,131,-0.19083969465648856,24,49,58,0.183206106870229,0.37404580152671757
2022-05-19,142,-0.16901408450704225,28,52,62,0.19718309859154928,0.36619718309859156
2022-05-20,242,-0.16115702479338842,57,96,89,0.23553719008264462,0.39669421487603307
2022-05-21,208,-0.24519230769230768,37,88,83,0.1778846153846154,0.4230769230769231
2022-05-22,71,0.2112676056338028,31,16,24,0.43661971830985913,0.22535211267605634
2022-05-23,138,0.1956521739130435,63,36,39,0.45652173913043476,0.2608695652173913
2022-05-24,142,-0.007042253521126761,50,51,41,0.352112676056338,0.3591549295774648
2022-05-25,128,0.203125,54,28,46,0.421875,0.21875
2022-05-26,86,0.32558139534883723,33,5,48,0.38372093023255816,0.05813953488372093
2022-05-27,98,0.5,56,7,35,0.5714285714285714,0.07142857142857142
2022-05-28,71,0.09859154929577464,23,16,32,0.323943661971831,0.22535211267605634
2022-05-29,47,0.2553191489361702,18,6,23,0.3829787234042553,0.1276595744680851
2022-05-30,53,0.20754716981132076,22,11,20,0.41509433962264153,0.20754716981132076
2022-05-31,69,0.391304347826087,36,9,24,0.5217391304347826,0.13043478260869565
2022-06-01,92,0.021739130434782608,25,23,44,0.2717391304347826,0.25
2022-06-02,125,0.184,47,24,54,0.376,0.192
2022-06-03,202,-0.19306930693069307,42,81,79,0.2079207920792079,0.400990099009901
2022-06-04,57,0.19298245614035087,24,13,20,0.42105263157894735,0.22807017543859648
2022-06-05,70,0.15714285714285714,21,10,39,0.3,0.14285714285714285
2022-06-06,80,-0.0625,17,22,41,0.2125,0.275
2022-06-07,79,0.11392405063291139,33,24,22,0.4177215189873418,0.3037974683544304
2022-06-08,85,0.17647058823529413,29,14,42,0.3411764705882353,0.16470588235294117
2022-06-09,122,0.38524590163934425,65,18,39,0.5327868852459017,0.14754098360655737
2022-06-10,138,0.21739130434782608,50,20,68,0.36231884057971014,0.14492753623188406
2022-06-11,55,0.34545454545454546,24,5,26,0.43636363636363634,0.09090909090909091
2022-06-12,39,0.1794871794871795,18,11,10,0.46153846153846156,0.28205128205128205
2022-06-13,108,0.07407407407407407,42,34,32,0.3888888888888889,0.3148148148148148
2022-06-14,73,0.1095890410958904,24,16,33,0.3287671232876712,0.2191780821917808
2022-06-15,88,0.03409090909090909,30,27,31,0.3409090909090909,0.3068181818181818
2022-06-16,84,-0.011904761904761904,21,22,41,0.25,0.2619047619047619
2022-06-17,57,0.0,19,19,19,0.3333333333333333,0.3333333333333333
2022-06-18,63,0.15873015873015872,27,17,19,0.42857142857142855,0.2698412698412698
2022-06-19,38,0.3157894736842105,17,5,16,0.4473684210526316,0.13157894736842105
2022-06-20,42,0.23809523809523808,21,11,10,0.5,0.2619047619047619
2022-06-21,88,0.3409090909090909,46,16,26,0.5227272727272727,0.18181818181818182
2022-06-22,98,0.14285714285714285,36,22,40,0.3673469387755102,0.22448979591836735
2022-06-23,78,0.0,23,23,32,0.2948717948717949,0.2948717948717949
2022-06-24,54,0.2222222222222222,23,11,20,0.42592592592592593,0.2037037037037037
2022-06-25,40,0.2,16,8,16,0.4,0.2
2022-06-26,47,0.2765957446808511,21,8,18,0.44680851063829785,0.1702127659574468
2022-06-27,46,0.15217391304347827,17,10,19,0.3695652173913043,0.21739130434782608
2022-06-28,68,0.19117647058823528,29,16,23,0.4264705882352941,0.23529411764705882
2022-06-29,80,0.075,29,23,28,0.3625,0.2875
2022-06-30,77,0.18181818181818182,33,19,25,0.42857142857142855,0.24675324675324675
2022-07-01,76,0.21052631578947367,30,14,32,0.39473684210526316,0.18421052631578946
2022-07-02,95,0.4,52,14,29,0.5473684210526316,0.14736842105263157
2022-07-03,47,0.44680851063829785,26,5,16,0.5531914893617021,0.10638297872340426
2022-07-04,49,0.20408163265306123,22,12,15,0.4489795918367347,0.24489795918367346
2022-07-05,86,0.10465116279069768,33,24,29,0.38372093023255816,0.27906976744186046
2022-07-06,78,0.21794871794871795,27,10,41,0.34615384615384615,0.1282051282051282
2022-07-07,69,0.014492753623188406,18,17,34,0.2608695652173913,0.2463768115942029
2022-07-08,114,0.18421052631578946,42,21,51,0.3684210526315789,0.18421052631578946
2022-07-09,59,0.03389830508474576,16,14,29,0.2711864406779661,0.23728813559322035
2022-07-10,47,0.2978723404255319,21,7,19,0.44680851063829785,0.14893617021276595
2022-07-11,90,-0.13333333333333333,23,35,32,0.25555555555555554,0.3888888888888889
2022-07-12,77,0.012987012987012988,23,22,32,0.2987012987012987,0.2857142857142857
2022-07-13,111,0.036036036036036036,36,32,43,0.32432432432432434,0.2882882882882883
2022-07-14,80,0.2,28,12,40,0.35,0.15
2022-07-15,69,0.15942028985507245,23,12,34,0.3333333333333333,0.17391304347826086
2022-07-16,35,0.2571428571428571,15,6,14,0.42857142857142855,0.17142857142857143
2022-07-17,42,0.21428571428571427,15,6,21,0.35714285714285715,0.14285714285714285
